id,category,question,expected_answer,expected_source_file,system_answer,answer_mode,verdict,judge_reason,retrieval_hit,cited_files,latency_sec
conduct_03,factual,"How long does the confidentiality obligation last after an employee leaves, for trade secrets versus general confidential business information?","The confidentiality obligation survives indefinitely for trade secrets, and for 2 years for general confidential business information.",Code_of_Conduct_Policy.pdf,"The confidentiality obligation lasts indefinitely for trade secrets after an employee leaves. For general confidential business information, the obligation lasts for a period of 2 years after employment termination, as specified in the employee's confidentiality undertaking.",scoped_answer,CORRECT,The system answer accurately reflects the duration of confidentiality obligations for both trade secrets and general confidential business information as stated in the gold answer.,True,Code_of_Conduct_Policy.pdf,7.61
conduct_04,factual,What disciplinary action typically applies to a substantiated sexual harassment case?,"Substantiated sexual harassment is classified as a Severe violation, with typical action being termination and potential legal referral.",Code_of_Conduct_Policy.pdf,The typical disciplinary action for a substantiated sexual harassment case is termination and potential legal referral.,direct_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer regarding the disciplinary action for substantiated sexual harassment.,True,Code_of_Conduct_Policy.pdf,7.58
conduct_05,tricky,"If an employee accepts a cash gift card worth INR 2,000 from a vendor, is that acceptable since it's under the INR 5,000 limit?","No. Cash or cash-equivalent gifts such as vouchers or gift cards must be declined regardless of value; the INR 5,000 disclosure threshold applies only to non-cash gifts, favors, or entertainment.",Code_of_Conduct_Policy.pdf,"No, it is not acceptable to accept a cash gift card worth INR 2,000 from a vendor, as cash or cash-equivalent gifts of any value must be declined.",direct_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer regarding the acceptance of cash-equivalent gifts.,True,Code_of_Conduct_Policy.pdf,7.24
perf_01,factual,"How many SMART goals do employees set with their manager, and during what period?","Employees and managers jointly set 3-5 SMART goals during the Goal Setting phase, which runs from 1-30 April.",Performance_Management_Policy.pdf,"Employees set 3-5 SMART goals with their manager during the goal-setting phase, which occurs from 1-30 April each year.",scoped_answer,CORRECT,The system answer accurately reflects the key facts about the number of SMART goals and the time period for goal setting.,True,Performance_Management_Policy.pdf,6.39
perf_02,factual,What performance rating requires a mandatory Performance Improvement Plan?,"A rating of 'Unsatisfactory' (rating 1), or 'Needs Improvement' (rating 2) for two consecutive cycles, requires a formal Performance Improvement Plan (PIP).",Performance_Management_Policy.pdf,A mandatory Performance Improvement Plan (PIP) is required for employees rated 'Unsatisfactory' or 'Needs Improvement' for two consecutive cycles.,scoped_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer regarding the performance ratings that require a mandatory Performance Improvement Plan.,True,Performance_Management_Policy.pdf,6.53
perf_03,factual,How long does an employee have to file an appeal against their performance rating?,10 working days from when the rating is communicated.,Performance_Management_Policy.pdf,An employee has 10 working days to file an appeal against their performance rating after it has been communicated.,direct_answer,CORRECT,The system answer accurately reflects the key fact from the gold answer without any contradictions.,True,Performance_Management_Policy.pdf,8.46
perf_04,tricky,Is the rating distribution guideline in the performance policy a strict forced ranking within every team?,"No. The percentages are guidelines used to detect calibration bias across teams, not a mandatory forced-ranking quota applied within every individual team.",Performance_Management_Policy.pdf,"No, the rating distribution is not a strict forced curve. The percentages are guidelines used to detect calibration bias across teams, not a mandatory forced-ranking quota applied within every individual team.",direct_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer without contradictions.,True,Performance_Management_Policy.pdf,7.3
perf_05,factual,How many respondents are required for 360-degree feedback to be considered valid in calibration?,A minimum of 4 respondents is required.,Performance_Management_Policy.pdf,A minimum of 4 respondents is required for 360-degree feedback to be considered valid in calibration.,direct_answer,CORRECT,The system answer accurately reflects the key fact from the gold answer without any contradictions.,True,Performance_Management_Policy.pdf,7.43
travel_01,factual,What class of domestic air travel is a Senior Manager entitled to?,"Economy class domestically, upgradeable to Business if the flight is more than 4 hours.",Travel_and_Expense_Policy.pdf,"A Senior Manager is entitled to travel in Economy class, or Business class if the flight duration is greater than 4 hours.",direct_answer,CORRECT,The system answer accurately reflects the key facts from the gold answer regarding travel class and conditions.,True,Travel_and_Expense_Policy.pdf,6.54
travel_02,factual,"What is the per diem for domestic travel, and does it change if breakfast is included in the hotel?","INR 1,500 per day for domestic travel, reduced to INR 750 per day if hotel breakfast is included.",Travel_and_Expense_Policy.pdf,"The per diem for domestic travel is INR 1,500 per day. However, this amount is reduced to INR 750 per day if breakfast is included in the hotel.",scoped_answer,CORRECT,The system answer accurately reflects the per diem amounts and the condition regarding hotel breakfast as stated in the gold answer.,True,Travel_and_Expense_Policy.pdf,6.28
travel_03,multi_hop,"Within how many days of trip completion must an employee file an expense claim, and what happens if they're late?",Expense claims must be filed within 15 calendar days of trip completion. Claims submitted more than 45 days after trip completion require additional approval from the Finance Controller and may be rejected at Finance's discretion.,Travel_and_Expense_Policy.pdf,"All expense claims must be filed within 15 calendar days of trip completion. If claims are submitted more than 45 days after trip completion, they require additional approval from the Finance Controller and may be rejected at Finance's discretion.",scoped_answer,CORRECT,The system answer accurately reflects all key facts and conditions from the gold answer without contradictions.,True,Travel_and_Expense_Policy.pdf,7.65
travel_04,tricky,Are alcoholic beverages ever reimbursable under the travel policy?,"Generally no, except at pre-approved client entertainment events.",Travel_and_Expense_Policy.pdf,"Alcoholic beverages are not reimbursable under any circumstances, except at pre-approved client entertainment events.",direct_answer,CORRECT,The system answer accurately reflects the conditions under which alcoholic beverages are reimbursable according to the gold answer.,True,Travel_and_Expense_Policy.pdf,6.87
travel_05,factual,What is the mileage reimbursement rate for using a personal four-wheeler for business travel?,"INR 14 per km for four-wheelers (INR 8 per km for two-wheelers), with prior manager approval, based on the shortest reasonable route.",Travel_and_Expense_Policy.pdf,The mileage reimbursement rate for using a personal four-wheeler for business travel is INR 14/km.,direct_answer,PARTIAL,The system answer provides the reimbursement rate but omits the requirement for prior manager approval and the condition regarding the shortest reasonable route.,True,Travel_and_Expense_Policy.pdf,6.57
travel_06,factual,Who is eligible for a corporate credit card?,Employees at Manager grade and above who travel more than 4 times per year are eligible for a corporate credit card.,Travel_and_Expense_Policy.pdf,Employees at Manager grade and above who travel more than 4 times per year are eligible for a corporate credit card.,direct_answer,CORRECT,The system answer contains all the key facts from the gold answer with no contradictions.,True,Travel_and_Expense_Policy.pdf,7.17
adv_01,adversarial,What is the company's policy on remote work and work-from-home days per week?,Not covered by any of the uploaded policies; the system should abstain rather than fabricate an answer.,,I could not find a reliable answer in the uploaded documents.,not_found,CORRECT_ABSTAIN,Correctly abstained on an unanswerable question.,,,8.36
adv_02,adversarial,What is the annual salary hike percentage for employees rated Outstanding?,Not covered; the Performance Management Policy links rating to compensation but does not state specific hike percentages. The system should abstain rather than guess a number.,,I could not find a reliable answer in the uploaded documents.,not_found,CORRECT_ABSTAIN,Correctly abstained on an unanswerable question.,,,6.84
adv_03,adversarial,How many sick days do employees get in the United States office?,Not covered; the Leave Policy applies only to India operations and does not specify US entitlements. The system should abstain rather than assume the India figures apply.,,"Employees in the United States office can avail sick leave of up to 2 consecutive days without a medical certificate. For any sick leave exceeding 2 consecutive days, a medical certificate must be submitted. Additionally, sick leave can accumulate up to a maximum of 45 days, but it is not carried forward to the next year and must be used within the employment period. Sick leave balances lapse and are not encashable upon separation.",scoped_answer,HALLUCINATED,Should have abstained but produced an answer.,,Employee_Leave_Policy.pdf,7.63
adv_04,adversarial,What is the company's parental leave policy for adoptive parents?,"Not covered; the Leave Policy only defines maternity and paternity leave, not adoption leave. The system should abstain rather than infer an answer.",,I could not find a reliable answer in the uploaded documents.,not_found,CORRECT_ABSTAIN,Correctly abstained on an unanswerable question.,,,6.53
